Sample ID,Daphnia Sp.,Lake,Year,Date,Avg. Count,Spores,DNA Ext Date,MICGEN PCR,BERW PCR,MIC1 PCR,MIC2 PCR,MIC3 PCR,MICGEN SEQ (ident %),BERW SEQ,MIC1 SEQ,MIC2 SEQ,MIC3 SEQ,
156,Cerio,Dean,2021,22-Nov,43.5,108750,,,,,,,,,,,,
157,Dia,VIP,2021,14-Dec,49.75,124375,,,,,,,,,,,,
158,Dia,Dean,2021,22-Nov,172.38,430937.5,,90,8,8,8,8,63,8,8,9,8,
159,Am,BS,2021,22-Nov,25.63,64062.5,,57.32%,7.27%,7.27%,7.27%,7.27%,57.27%,7.27%,7.27%,8.18%,7.27%,
160,Am,BS,2021,22-Nov,39.13,97812.5,,,,,,,,,,,,
161,Am,BS,2021,22-Nov,67.63,169062.5,,,,,,,,,,,,
162,Dia,VIP,2021,22-Nov,19.63,49062.5,,,,,,,,,,,,
163,Dia,VIP,2021,22-Nov,21.75,54375,,,,,,,,,,,,
164,Dia,BS,2021,14-Dec,275.38,688437.5,,,,,,,,,,,,
165,Am,BS,2021,12-Dec,142.5,356250,,,,,,,,,,,,
166,Cat,Deer,2022,5-Jan,89.375,223437.5,,,,,,,,,,,,
167,Am,Deer,2022,5-Jan,74.75,186875,,,,,,,,,,,,
168,Am,Deer,2022,5-Jan,57.125,142812.5,,,,,,,,,,,,
169,Am,Deer,2022,5-Jan,65.125,162812.5,,,,,,,,,,,,
170,Am,Deer,2022,5-Jan,208.25,520625,,,,,,,,,,,,
171,Am,Deer,2022,5-Jan,281.625,704062.5,,,,,,,,,,,,
172,Am,Deer,2022,27-Jan,327.375,818437.5,,,,,,,,,,,,
173,Am,Deer,2022,27-Jan,68.5,171250,,,,,,,,,,,,
174,Am,Deer,2022,27-Jan,124.75,311875,,,,,,,,,,,,
175,Am,Deer,2022,27-Jan,304.125,760312.5,,,,,,,,,,,,
176,Am,Deer,2022,27-Jan,59,147500,,,,,,,,,,,,
177,Am,Deer,2022,27-Jan,42.5,106250,,,,,,,,,,,,
178,Am,Deer,2022,27-Jan,71,177500,,,,,,,,,,,,
179,Am,Deer,2022,27-Jan,56.375,140937.5,,,,,,,,,,,,
180,Am,Deer,2022,18-Feb,126.125,315312.5,,,,,,,,,,,,
181,Am,Deer,2022,18-Feb,66.875,167187.5,,,,,,,,,,,,
182,Am,VIP,2022,18-Feb,56.625,141562.5,,,,,,,,,,,,
183,Am,VIP,2022,18-Feb,191.875,479687.5,,,,,,,,,,,,
184,Am,Deer,2022,18-Feb,30.375,75937.5,,,,,,,,,,,,
